0;num;type;callsign;dmrid;qrg;shift;cc;mix;ctcss;net;city;cnty;country;ctry;lat;lon;longcall;callext1;callext2;txcontact1;rxgroup1;txcontact2;rxgroup2;pwr;scanlist1;scanlist2;scanlistfm
888;1;d;DMR Anruf;;433,45000;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;2;d;DMR 01 430.6125;;430,61250;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;3;d;DMR 02 430.6250;;430,62500;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;4;d;DMR 03 430.6375;;430,63750;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;5;d;DMR 04 430.6500;;430,65000;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;6;d;DMR 05 430.6625;;430,66250;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;7;d;DMR 06 430.6750;;430,67500;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;8;d;DMR 07 430.6875;;430,68750;0;1;s1;;;;;;;;;;;;All Call;RX Berlin;;;H;DMO;None;
888;9;d;TG263333;;430,37500;0;1;s1;;;;;;;;;;;;Twitterrunde;Twitterrunde;;;H;None;None;
888;10;d;Chaoswelle;;430,37500;0;1;s1;;;;;;;;;;;;Chaoswelle;Hotspot;;;H;None;None;
















































































































