0;num;type;callsign;dmrid;qrg;shift;cc;mix;ctcss;net;city;cnty;country;ctry;lat;lon;longcall;callext1;callext2;txcontact1;rxgroup1;txcontact2;rxgroup2;pwr;scanlist1;scanlist2;scanlistfm
999;1;a;Mobil 433.500;;433,5;0;;;0;;;;;;;;;;;;;;;H;;;None
999;2;a;Mobil 433.525;;433,525;0;;;0;;;;;;;;;;;;;;;H;;;None
999;3;a;Mobil 433.550;;433,55;0;;;0;;;;;;;;;;;;;;;H;;;None
999;4;a;Mobil 433.575;;433,575;0;;;0;;;;;;;;;;;;;;;H;;;None
999;5;a;DB0LOS 438.775;;438,775;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;6;a;DB0TA 439.125;;439,125;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;7;a;DB0WOL 439.125;;439,15;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;8;a;DM0VG 438.55;;438,55;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;9;a;DB0LUD 438.575;;438,575;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;10;a;DO0MAL 438.6;;438,6;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;11;a;DO0FWH 438.6;;438,6;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;12;a;DB0MSP 438.675;;438,675;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;13;a;DB0ZOD 438.725;;438,725;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;14;a;DB0NBB 438.75;;438,75;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;15;a;DO0RM 438.825;;438,825;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;16;a;DB0WIT 438.875;;438,875;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;17;a;DB0PSW 438.9;;438,9;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;18;a;DB0BR 438.925;;438,925;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;19;a;DB0SX 439.05;;439,05;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;22;a;DB0BEL 439.175;;439,175;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;23;a;DB0BAR 439.2625;;439,2625;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;24;a;DB0BLO 439.275;;439,275;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;25;a;DB0RAG 439.3;;439,3;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;26;a;DB0LY 439.325;;439,325;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;27;a;DB0NAU 439.4;;439,4;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
999;28;a;DB0SP 439.425;;439,425;-7.6;;;0;;;;;;;;;;;;;;;H;;;None
