0;num;type;callsign;dmrid;qrg;shift;cc;mix;ctcss;net;city;cnty;country;ctry;lat;lon;longcall;callext1;callext2;txcontact1;rxgroup1;txcontact2;rxgroup2;pwr;scanlist1;scanlist2;scanlistfm
1;1;d;DB0BRB;262150;43.948.750;-7.600;1;;;;Brandenburg a.d.H;Brandenburg;Germany;DEU;5.241.044;1.253.711;DB0BRB;TS1;;;;;;h;;;
1;2;d;DB0BRB;262150;43.948.750;-7.600;1;;;;Brandenburg a.d.H;Brandenburg;Germany;DEU;5.241.044;1.253.711;DB0BRB;;;;;;;h;;;
1;3;d;DB0JSF;262101;43.995.000;-9.400;1;;;DMR-plus;Frankfurt/Oder;Brandenburg;Germany;DEU;523.316;145.288;DB0JSF;;;;;;;h;;;
1;4;d;DB0OUD;262120;43.862.500;-7.600;1;;;BM;Berlin/City-West;Berlin;Germany;DEU;5.250.217;1.333.317;DB0OUD;;;;;;;h;;;
1;5;d;DB0SPN;262130;43.948.750;-7.600;1;;;DMR-plus;Cottbus;Brandenburg;Germany;DEU;517.200;143.415;DB0SPN;;;;;;;h;;;
1;6;d;DB0TA;262126;43.870.000;7.600;1;;;DMR-plus;Birkholzaue - Berlin;Brandenburg;Germany;DEU;5.263.866;1.361.005;DB0TA;;;;;;;h;;;
1;7;d;DB0TGO;262103;43.478.750;0.000;1;;;;Berlin-Tegelort;Berlin;Germany;DEU;5.257.167;1.324.306;DB0TGO;;;;;;;h;;;
1;8;d;DK0TU;262123;43.895.000;-7.600;1;;;None;TU Berlin;Berlin;Germany;DEU;5.251.211;1.332.689;DK0TU;;;;;;;h;;;
1;9;d;DM0MOT;262100;43.952.500;-7.600;1;;;BM;Berlin/Tegel;Berlin;Germany;DEU;5.258.219;1.328.397;DM0MOT;;;;;;;h;;;
1;10;d;DM0RUG;262072;43.885.000;-7.600;1;;;DMR-plus;Sagard/Ruegen;Brandenburg;Germany;DEU;5.455.358;1.359.366;DM0RUG;;;;;;;h;;;
1;11;d;DM0TZN;262173;43.882.500;-7.600;1;;;;Mittenwalde;Brandenburg;Germany;DEU;5.220.931;1.358.384;DM0TZN;;;;;;;h;;;
1;12;d;DO0SE;262144;43.997.500;-9.400;1;;;DMR-plus;Hennigsdorf;Brandenburg;Germany;DEU;5.261.045;13.199;DO0SE;;;;;;;h;;;
1;13;d;DM0TT;;4.390.875;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;14;d;DB0OUD;;4.386.250;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;15;d;DB0TU;;4.395.750;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;16;d;DB0KK;;4.395.375;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;17;d;DM0MOT;;4.395.250;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;18;d;DB0TA;;4.394.750;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;19;d;DB0PDM;;4.385.625;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;20;d;DM0TZN;;4.388.250;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;21;d;DB0WOL;;4.395.500;-7.600;1;;;DMR-plus;;;;;;;;;;;;;;;;;
1;22;d;DB0BRB;;4.394.875;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;23;d;DB0JSF;;4.399.500;-9.400;1;;;DMR-plus;;;;;;;;;;;;;;;;;
1;24;d;DO0FWH;;4.395.125;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;25;d;DB0AMK;;4.392.875;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;26;d;DB0ZEA;;4.386.500;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;27;d;DB0SPN;;4.394.875;-7.600;1;;;DMR-plus;;;;;;;;;;;;;;;;;
1;28;d;SR1DMR;;4.393.375;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
1;29;d;DB0NLS;;4.395.125;-7.600;1;;;BM;;;;;;;;;;;;;;;;;
